Date, Unread, Inbox Total, Deleted Total
2014-01-10 03:00:05, 293, 1485, 1273
2014-01-10 03:05:06, 293, 1485, 1273
2014-01-10 03:10:04, 293, 1485, 1273
2014-01-10 03:15:07, 293, 1485, 1273
2014-01-10 03:20:05, 293, 1485, 1273
2014-01-10 03:25:07, 293, 1485, 1273
2014-01-10 03:30:07, 293, 1485, 1273
2014-01-10 03:35:04, 293, 1485, 1273
2014-01-10 03:40:04, 293, 1485, 1273
2014-01-10 03:45:06, 293, 1485, 1273
2014-01-10 03:50:06, 293, 1485, 1273
2014-01-10 03:55:08, 293, 1485, 1273
2014-01-10 04:00:04, 293, 1485, 1273
2014-01-10 04:05:07, 293, 1485, 1273
2014-01-10 04:10:06, 293, 1485, 1273
2014-01-10 04:15:05, 293, 1485, 1273
2014-01-10 04:20:07, 293, 1485, 1273
2014-01-10 04:25:06, 293, 1485, 1273
2014-01-10 04:30:06, 293, 1485, 1273
2014-01-10 04:35:04, 294, 1486, 1273
2014-01-10 04:40:06, 294, 1486, 1273
2014-01-10 04:45:05, 294, 1486, 1273
2014-01-10 04:50:05, 294, 1486, 1273
2014-01-10 04:55:06, 294, 1486, 1273
2014-01-10 05:00:26, 294, 1486, 1273
2014-01-10 05:05:06, 294, 1486, 1273
2014-01-10 05:10:05, 294, 1486, 1273
2014-01-10 05:15:04, 294, 1486, 1273
2014-01-10 05:20:06, 294, 1486, 1273
2014-01-10 05:25:08, 294, 1486, 1273
2014-01-10 05:30:06, 294, 1486, 1273
2014-01-10 05:35:06, 294, 1486, 1273
2014-01-10 05:40:07, 294, 1486, 1273
2014-01-10 05:45:08, 294, 1486, 1273
2014-01-10 05:50:08, 294, 1486, 1273
2014-01-10 05:55:06, 294, 1486, 1273
2014-01-10 06:00:05, 294, 1486, 1273
2014-01-10 06:05:04, 295, 1487, 1273
2014-01-10 06:10:08, 295, 1487, 1273
2014-01-10 06:15:06, 295, 1487, 1273
2014-01-10 06:20:06, 295, 1487, 1273
2014-01-10 06:25:06, 295, 1487, 1273
2014-01-10 06:30:05, 295, 1487, 1273
2014-01-10 06:35:07, 295, 1487, 1273
2014-01-10 06:40:07, 295, 1487, 1273
2014-01-10 06:45:07, 295, 1487, 1273
2014-01-10 06:50:06, 295, 1487, 1273
2014-01-10 06:55:07, 295, 1487, 1273
2014-01-10 07:00:05, 295, 1487, 1273
2014-01-10 07:05:06, 296, 1488, 1273
2014-01-10 07:10:06, 296, 1488, 1273
2014-01-10 07:15:07, 298, 1490, 1273
2014-01-10 07:20:06, 298, 1490, 1273
2014-01-10 07:25:05, 299, 1491, 1273
